Состояние,Бренд,Модель,Процессор,Оперативная память (ГБ),Частота процессора,Количество ядер,Диагональ (дюйм),Разрешение экрана,Тип матрицы,Видеокарта,Тип,Назначение,Накопитель,Объем накопителя,ОС,Цвет,Емкость батареи,Доставка,Title,Link,Price
Б/у,Apple,air2018,Intel Core i5,8,,2,13.3,2K (2560х1600),IPS,Другая видеокарта,Ноутбук,Игровой,SSD,128 ГБ,Mac OS,Серый,4000 - 5000 мАч,Самовывоз,"Apple air2018, Intel Core i5, 8 ГБ ОЗУ, 13.3 """,https://lalafo.kg/bishkek/ads/apple-air2018-intel-core-i5-8-gb-ozu-133-id-93413478,63 000 KGS
Б/у,HP,Hp 250 G6,Intel Core i3,4,2.5 - 2.9 ГГц,4,15.6,Full HD (1920x1080),TN+film,,Ультрабук,Игровой,HDD,512 ГБ,Windows,Серый,3500 - 4000 мАч,Самовывоз,"HP Hp 250 G6, Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/hp-hp-250-g6-intel-core-i3-4-gb-ozu-156-id-97321993,30 000 KGS
,,,Intel Core i3,,,4,,,,,Ноутбук,"Для работы, учебы",,,,,,,"Продаётся Ноутбук ASUS Inter Core i3-7020U Оперативка: 8GB 256GB, SSD",https://lalafo.kg/bishkek/ads/prodaetsa-noutbuk-asus-inter-core-i3-7020u-operativka-8gb-256gb-ssd-id-93609600,41 000 KGS
Б/у,Acer,aspire 3,Intel Core i5,12,2.0 - 2.4 ГГц,8,15.6,HD (1366x768),IPS,,Ноутбук,Игровой,HDD + SSD,128 ГБ,Windows,Черный,4000 - 5000 мАч,Бесплатная доставка,"Acer aspire 3, Intel Core i5, 12 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-aspire-3-intel-core-i5-12-gb-ozu-156-id-98108804,35 000 KGS
Б/у,Lenovo,S145,AMD A4,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),TN+film,,Ультрабук,Игровой,HDD,1 ТБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Lenovo S145, AMD A4, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/lenovo-s145-amd-a4-4-gb-ozu-156-id-69617678,23 000 KGS
,HP,,Intel Core i3,4,1.5 - 1.9 ГГц,4,15.6,,,,Ноутбук,"Для работы, учебы",HDD,512 ГБ,Windows,,,Самовывоз,Продаю ноутбук hp i3 (сост как новый+гарантия) -процессор-Intel Core,https://lalafo.kg/bishkek/ads/prodau-noutbuk-hp-i3-sost-kak-novyjgarantia-processor-intel-core-id-96080704,18 000 KGS
Б/у,Acer,EX2519,Intel Celeron,4,1.5 - 1.9 ГГц,2,15.6,HD (1366x768),TN+film,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD + SSD,128 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Acer EX2519, Intel Celeron, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/acer-ex2519-intel-celeron-4-gb-ozu-156-id-99646748,18 500 KGS
Б/у,Asus,K54,Intel Pentium,4,2.0 - 2.4 ГГц,2,15.6,HD (1366x768),TN+film,Другая видеокарта,Ноутбук,"Для работы, учебы",HDD,256 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Asus K54, Intel Pentium, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-k54-intel-pentium-4-gb-ozu-156-id-99646571,13 500 KGS
Б/у,Toshiba,С55,Intel Core i3,4,2.0 - 2.4 ГГц,4,15.6,HD (1366x768),TN+film,Другая видеокарта,Ноутбук,"Для работы, учебы",SSD,128 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Toshiba С55, Intel Core i3, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/toshiba-s55-intel-core-i3-4-gb-ozu-156-id-99646465,16 500 KGS
Б/у,Asus,X554,Intel Pentium,4,1.5 - 1.9 ГГц,4,15.6,HD (1366x768),TN+film,,Ультрабук,Игровой,HDD,512 ГБ,Windows,Черный,3500 - 4000 мАч,Самовывоз,"Asus X554, Intel Pentium, 4 ГБ ОЗУ, 15.6 """,https://lalafo.kg/bishkek/ads/asus-x554-intel-pentium-4-gb-ozu-156-id-97530760,18 000 KGS
