Состояние,Бренд,Оперативная память (ГБ),Частота процессора,Количество ядер,Видеокарта,Тип,Накопитель,Объем накопителя,Price
Б/у,NotApple,8,2.7,4,4.7,Ультрабук,SSD,512,48000
Б/у,NotApple,2,1.2,2,4.7,Ноутбук,HDD,128,12000
Б/у,NotApple,2,2.2,2,4.7,Ноутбук,HDD,256,9500
Б/у,Apple,16,2.7,4,4.7,Ноутбук,SSD,256,34000
Б/у,NotApple,2,2.2,2,4.7,Ноутбук,HDD,512,14800
Б/у,NotApple,8,2.7,8,4.7,Ноутбук,HDD,256,19000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,1000,15000
Б/у,Apple,8,2.2,4,4.7,Ноутбук,Другой тип накопителя,128,70000
Б/у,NotApple,8,1.2,4,4.7,Ультрабук,SSD,512,45000
Б/у,Apple,8,3.2,8,4.7,Ноутбук,HDD,256,104000
Б/у,NotApple,4,1.7,2,4.7,Ноутбук,HDD,512,11700
Б/у,NotApple,2,1.7,2,4.7,Ноутбук,HDD,512,12500
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,512,10700
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,HDD,512,14000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,15000
Б/у,NotApple,4,2.2,4,110,Ноутбук,HDD,512,12500
Б/у,NotApple,16,2.2,8,60.9,Ноутбук,HDD + SSD,1000,75000
Б/у,NotApple,16,3.2,4,80.5,Ноутбук,HDD + SSD,1000,68000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,19000
Б/у,NotApple,4,2.7,2,4.7,Ноутбук,HDD,512,9500
Б/у,NotApple,8,3.2,2,4.7,Ноутбук,HDD,512,22000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,512,11000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,24000
Б/у,NotApple,4,1.2,2,4.7,Ноутбук,HDD,128,16000
Б/у,NotApple,2,1.2,4,4.7,Ноутбук,HDD + SSD,512,12000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,17000
Б/у,NotApple,4,2.2,4,4.7,Ультрабук,HDD,1000,23000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,15500
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,23800
Б/у,NotApple,8,2.7,4,4.7,Ноутбук,HDD + SSD,1000,28000
Б/у,NotApple,4,1.2,2,110,Ноутбук,HDD,512,12000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12500
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,SSD,256,24000
Б/у,NotApple,16,1.7,8,16.7,Ультрабук,SSD,512,48000
Б/у,Apple,16,2.7,4,4.7,Ультрабук,SSD,512,67600
Б/у,NotApple,4,2.7,4,4.7,Ультрабук,HDD,512,16000
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,256,15000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,15000
Новый,NotApple,8,3.2,6,4.7,Ноутбук,SSD,256,57200
Б/у,NotApple,8,3.2,4,4.7,Ноутбук,SSD,256,34500
Б/у,NotApple,16,2.2,12,46.7,Ноутбук,HDD + SSD,1000,90000
Б/у,NotApple,16,3.2,4,7.72,Ультрабук,SSD,512,83200
Новый,NotApple,8,3.2,8,28,Ноутбук,HDD,1000,58000
Б/у,NotApple,8,2.7,4,27.1,Ноутбук,HDD + SSD,512,16000
Б/у,NotApple,4,2.2,4,30.9,Ноутбук,HDD,512,18000
Новый,Apple,8,3.2,8,4.7,Ультрабук,SSD,256,98800
Б/у,Apple,16,3.2,4,110,Ноутбук,SSD,256,65000
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,HDD + SSD,512,12000
Б/у,NotApple,6,2.2,4,4.7,Ноутбук,HDD + SSD,128,28500
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,SSD,128,16500
Б/у,NotApple,4,1.7,4,4.7,Ультрабук,HDD,512,18000
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,SSD,128,16600
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,HDD,1000,23600
Б/у,NotApple,8,2.2,8,4.7,Ноутбук,HDD,1000,25000
Б/у,Apple,8,3.2,4,4.7,Ноутбук,SSD,512,85500
Б/у,NotApple,4,2.2,2,4.7,Ноутбук,HDD,512,11000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,23800
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,SSD,128,17999
Б/у,Apple,8,2.2,8,4.7,Ноутбук,HDD,128,69000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,12000
Новый,NotApple,8,2.2,4,7.72,Ноутбук,HDD + SSD,256,52000
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,HDD + SSD,1000,32000
Б/у,NotApple,6,2.2,4,4.7,Ноутбук,HDD,512,28000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD + SSD,1000,32000
Б/у,NotApple,8,2.7,4,4.7,Ноутбук,HDD + SSD,1000,30000
Б/у,NotApple,8,2.2,4,4.81,Ноутбук,HDD,1000,15500
Б/у,NotApple,4,2.2,4,30.9,Ноутбук,HDD,512,20500
Б/у,NotApple,8,2.7,4,27.1,Ноутбук,HDD + SSD,128,24000
Б/у,NotApple,12,2.2,8,4.7,Ноутбук,HDD + SSD,128,35000
Б/у,NotApple,4,2.2,4,4.7,Ультрабук,HDD,512,12000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,256,10000
Б/у,NotApple,8,2.7,8,43.3,Ноутбук,SSD,512,75000
Новый,NotApple,16,2.2,8,4.7,Ноутбук,SSD,256,55000
Б/у,NotApple,6,1.7,4,4.81,Ноутбук,HDD + SSD,512,10000
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,SSD,128,25000
Б/у,NotApple,4,2.2,4,4.7,Ультрабук,HDD,1000,23000
Б/у,NotApple,4,1.7,2,4.7,Ультрабук,HDD,512,19500
Новый,NotApple,16,3.2,12,7.72,Ультрабук,SSD,512,92000
Б/у,Apple,8,2.2,4,4.7,Ноутбук,SSD,128,57200
Б/у,NotApple,8,1.7,4,4.7,Ноутбук,HDD,512,16999
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,SSD,256,20000
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,HDD,128,20000
Б/у,NotApple,4,2.7,4,4.7,Ультрабук,HDD,1000,22000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,SSD,128,15000
Б/у,NotApple,4,2.2,4,4.7,Ноутбук,HDD,512,15500
Новый,NotApple,16,3.2,4,72.6,Ноутбук,SSD,512,95000
Новый,NotApple,16,2.2,4,4.7,Ноутбук,SSD,512,93000
Б/у,NotApple,4,1.2,2,4.7,Ноутбук,HDD,128,25000
Б/у,Apple,16,3.2,2,4.7,Ультрабук,SSD,512,85000
Б/у,NotApple,4,1.2,2,4.7,Ноутбук,Другой тип накопителя,128,25000
Б/у,NotApple,8,2.7,2,4.7,Ноутбук,SSD,512,27000
Б/у,NotApple,8,2.2,2,4.7,Ноутбук,HDD + SSD,128,16999
Б/у,NotApple,8,2.2,4,4.7,Ноутбук,SSD,256,22000
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,HDD,256,25000
Б/у,NotApple,16,3.2,8,208,Ноутбук,SSD,256,156000
Б/у,NotApple,6,2.2,2,4.7,Ноутбук,HDD,512,15000
Б/у,NotApple,4,2.7,4,4.7,Ноутбук,SSD,128,15000
Б/у,NotApple,8,2.7,2,16.7,Ноутбук,HDD,1000,34900
